"Parameter","Value"
"curr_unit_cost","15000"
"curr_install_cost","3000"
"curr_annual_maint","2000"
"curr_major_overhaul","8000"
"curr_overhaul_interval","4"
"curr_parts_annual","1500"
"curr_power_kw","15"
"curr_operating_hours","4000"
"curr_efficiency","85"
"curr_downtime_hours","48"
"curr_training_cost","1000"
"curr_mtbf","8760"
"curr_flow_rate","100"
"curr_pressure","6"
"curr_noise_level","75"
"curr_vibration","4.5"
"curr_vfd_compat","0"
"curr_smart_controls","0"
"curr_remote_monitor","0"
"curr_predictive_maint","0"
"curr_warranty_years","2"
"new_unit_cost","52000"
"new_install_cost","7000"
"new_annual_maint","1200"
"new_major_overhaul","9000"
"new_overhaul_interval","6"
"new_parts_annual","1500"
"new_power_kw","12"
"new_operating_hours","4000"
"new_efficiency","94"
"new_downtime_hours","40"
"new_training_cost","1500"
"new_mtbf","9000"
"new_flow_rate","105"
"new_pressure","6.2"
"new_noise_level","68"
"new_vibration","2.8"
"new_vfd_compat","1"
"new_smart_controls","1"
"new_remote_monitor","1"
"new_predictive_maint","1"
"new_warranty_years","5"
"project","Project X"
"product","SuperPump-X"
"country","Germany"
"labor_cost","35"
"electricity_cost","0.25"
"analysis_years","10"
